time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.99142947856e-09,4.45160551781e-07,10.0024327749,0.000397393554261,7.94766735712e-06,0.0,-5.95252123921e-07,3.70426411316e-05,0.0810895001283,0.0173590010787,0.000396099391767,0.0,430.4336978785409,430.46720840431493,430.5324402980156,431.99832069234174
0.12000000000000001,-2.88815334775e-07,1.8119007505e-05,10.0155919079,0.00155648459867,6.28312557414,0.0,-6.26061207924e-06,0.000693391511209,0.357502324889,0.0229735832521,-0.0043654500824,0.0,489.9804547139142,489.62642521901887,489.4054325778821,489.8229986141916
0.18,1.5281735025e-06,0.000100989984125,10.0415642712,0.00367148311777,6.28306090037,0.0,8.39399172247e-05,0.00226813357416,0.50818715137,0.0525226213891,0.00479795196077,0.0,452.5998198219744,453.33662663936406,451.5494835859961,453.92704102812706
0.23999999999999996,8.11901381564e-06,0.000325567731957,10.0751923977,0.0064333637326,3.30422491803e-05,0.0,0.000112478364598,0.00552626414694,0.612698184082,0.0280716736845,-0.00212292470038,0.0,438.84067109203454,438.2658547110477,439.69687368074744,437.66805446386434
0.3,1.47284020041e-05,0.00083934086949,10.1213244603,0.00794524901382,6.28290858745,0.0,0.000135894228855,0.0118123373451,0.924836299307,0.0187234294773,-0.0120665638709,0.0,501.26540934224977,500.54248429971267,499.7042579816814,499.02246802572586
0.36000000000000004,3.1123961201e-05,0.00171127084771,10.1791792633,0.008754618165,6.2821607049,0.0,0.000483340394615,0.0173498250574,1.00359004167,0.000145793075638,-0.0132731145563,0.0,431.3400138932072,431.23823641582385,431.4838176908624,429.91270241126597
0.4200000000000001,8.10397013182e-05,0.00290802715498,10.2395205577,0.00882752989338,6.28121448712,0.0,0.00125656262567,0.0225456541809,1.0077825473,0.00327268048026,-0.0213014860071,0.0,406.78453296429427,406.06511683641463,406.26446809675343,406.54467891273174
0.48000000000000015,0.000207521777606,0.00446699546807,10.3055925301,0.00861982066442,6.28016814623,0.0,0.00309149466426,0.0294240379602,1.19443966877,-0.0224418647131,-0.0106584667135,0.0,464.9087097983551,465.7418456071085,464.9219126643045,462.9030809736822
0.5400000000000001,0.00046282063681,0.00641977741689,10.3818464987,0.00803992156329,6.27945179186,0.0,0.00549223846501,0.0355699992585,1.347192133,0.00810998997498,-0.0146323495656,0.0,456.26615865177934,455.9489464401504,452.1782643724009,454.63259771013395
0.6000000000000002,0.000876957954969,0.0087315354999,10.4668732211,0.00837894946562,6.2790077403,0.0,0.00837981545721,0.0415322551371,1.48685986783,0.000211265195332,0.00412909151416,0.0,450.4816905135385,451.9961721779043,451.3012499553614,450.6632255856803
0.6600000000000003,0.00146615895102,0.0113993026702,10.5594181567,0.00827646989096,6.27955096073,0.0,0.0112170963092,0.0473876768803,1.59782275831,-0.0058533078507,0.0174289313931,0.0,442.33093138999203,443.42464439219304,442.4817891061359,441.9823281295324
0.7200000000000003,0.00220314296842,0.0143953211815,10.6562438797,0.00784773225552,6.28015370986,0.0,0.0132665359428,0.0524434425038,1.62965689192,-0.00986440522721,-0.0118784509465,0.0,418.88832489077186,416.3320920097846,417.1488327544839,416.7985564770483
0.7800000000000004,0.00306825662594,0.0177119915097,10.7583076128,0.00754990410773,6.2797052131,0.0,0.0156314998241,0.0580639200718,1.77225744813,0.00337673625155,0.00013046779494,0.0,452.2959737336313,453.2621380448413,452.28933685763775,453.35450224499164
0.8400000000000004,0.00407917563675,0.0213557147631,10.8680770208,0.00765104937694,6.28002189886,0.0,0.0180466094161,0.0634081226514,1.88654097258,-0.00193127752235,0.0139762647124,0.0,443.5515290472928,444.68701542230275,445.04886259429003,444.61419284076993
0.9000000000000005,0.00523113152388,0.0253380200364,10.986839196,0.0080399803265,6.28137324483,0.0,0.0202209612073,0.0693528963675,2.07188121291,0.0194869409001,0.0356858638701,0.0,465.8823327351427,467.57659684187246,465.56781806792037,467.2404374771058
0.9600000000000005,0.00648238711119,0.029721153111,11.1203595152,0.00872702430152,6.28311205178,0.0,0.0212224185174,0.0768819689018,2.37821029245,-0.0139254416866,0.0101273904575,0.0,502.8634612901262,501.00886165446667,503.2584983739639,500.83430781536407
1.0200000000000005,0.00775504603233,0.0344869294817,11.263247346,0.00757614079745,0.000478604392463,0.0,0.0211483614599,0.0818919561177,2.38470461652,-0.0325975463032,0.00727016578588,0.0,411.87021305374975,411.61732655648444,412.80530026037115,411.1543274906606
1.0800000000000005,0.00901276609682,0.0395435892276,11.4085373677,0.00562084594305,0.000975664294658,0.0,0.0207298911386,0.0864702534272,2.45814253243,-0.0325696603954,0.0102392370163,0.0,434.496333356316,434.74505703397864,433.2530599913619,433.2549721019881
1.1400000000000006,0.0102343261564,0.0448391691566,11.5588294787,0.00363309404149,0.00144615042012,0.0,0.0199337155917,0.089848753798,2.55139225484,-0.0342721989781,0.00255344959103,0.0,440.9159086352126,440.2803860010281,440.63855967432835,440.49735484966436
1.2000000000000006,0.0113985114981,0.0502984296546,11.715375928,0.00132169856965,0.00212796135885,0.0,0.0188250296377,0.0918997169032,2.66656227419,-0.0487758804391,0.0248433715751,0.0,446.5170279858361,448.33162810880043,448.94691412605664,447.7678219681544
1.2600000000000007,0.0124719261642,0.0558302375421,11.8810758283,6.28127636682,0.0034454977473,0.0,0.0167938607829,0.0921414832379,2.856314089,-0.0666327677134,0.0154563872335,0.0,470.79025006049983,470.06338469611944,472.3753798608326,470.9945357321941
